region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
44000,충남,202304,3,86.95652173913042,0
45000,전북,202304,3,82.01754385964912,0
46000,전남,202304,3,85.02994011976048,0
47000,경북,202304,3,94.50549450549451,0
48000,경남,202304,3,93.52678571428571,0
50000,제주,202304,3,79.24528301886792,0
A1000,전국,202304,3,83.96604938271604,0
A2000,수도권,202304,3,82.40127544763305,0
A2001,지방권,202304,3,86.62089055347482,0
A3000,6대광역시,202304,3,83.72507122507122,0
A5000,5대광역시,202304,3,83.50277264325324,0
A6000,8개도,202304,3,88.7590652699436,0
A9000,9개도,202304,3,84.57854406130268,0
11000,서울,202304,7,90.34883720930233,0
11A01,강북지역,202304,7,90,1
11A02,강남지역,202304,7,90.85714285714286,1
11A11,도심권,202304,7,89.99999999999999,2
11A12,동북권,202304,7,91.60000000000001,2
11A13,서북권,202304,7,87.14285714285714,2
11A14,서남권,202304,7,88.57142857142857,2
11A15,동남권,202304,7,94.28571428571429,2
26000,부산,202304,7,93.6,0
26A01,동부산권,202304,7,92,1
26A02,중부산권,202304,7,92.38095238095238,1
26A03,서부산권,202304,7,97.14285714285714,1
27000,대구,202304,7,94.8936170212766,0
28000,인천,202304,7,98.94736842105263,0
29000,광주,202304,7,95,0
30000,대전,202304,7,85.14285714285714,0
31000,울산,202304,7,87.1875,0
36000,세종,202304,7,100.71428571428572,0
41000,경기,202304,7,90,0
41A01,서해안권,202304,7,92.50000000000001,1
41A02,경부1권,202304,7,85.625,1
41A03,경부2권,202304,7,92.5,1
41A04,경의권,202304,7,85.29411764705883,1
41A05,경원권,202304,7,95.625,1
41A06,동부1권,202304,7,91.875,1
41A07,동부2권,202304,7,86,1
42000,강원,202304,7,98.59649122807018,0
43000,충북,202304,7,97.45454545454545,0
44000,충남,202304,7,95.83333333333334,0
45000,전북,202304,7,89.15254237288137,0
46000,전남,202304,7,96.47887323943661,0
47000,경북,202304,7,97.59493670886077,0
48000,경남,202304,7,96.36363636363637,0
50000,제주,202304,7,92.56410256410255,0
A1000,전국,202304,7,93.83817427385893,0
A2000,수도권,202304,7,91.46245059288539,0
A2001,지방권,202304,7,94.68354430379748,0
A3000,6대광역시,202304,7,92.81512605042018,0
A5000,5대광역시,202304,7,91.64999999999999,0
A6000,8개도,202304,7,95.7344064386318,0
A9000,9개도,202304,7,94.55271565495208,0
11000,서울,202303,0,74.74509803921569,0
11A01,강북지역,202303,0,77.23414877683474,1
11A02,강남지역,202303,0,72.00878155872667,1
11A11,도심권,202303,0,79.8878205128205,2
11A12,동북권,202303,0,78.07839795483596,2
11A13,서북권,202303,0,73.71980676328502,2
11A14,서남권,202303,0,68.85401806942463,2
11A15,동남권,202303,0,76.31408176508761,2
26000,부산,202303,0,79.53695714696578,0
26A01,동부산권,202303,0,76.5858208955224,1
26A02,중부산권,202303,0,84.19761737911702,1
26A03,서부산권,202303,0,75.97137014314929,1
27000,대구,202303,0,72.76152482269504,0
28000,인천,202303,0,75.86726998491704,0
29000,광주,202303,0,82.40563019833652,0
30000,대전,202303,0,74.59946595460615,0
31000,울산,202303,0,78.32550860719874,0
36000,세종,202303,0,89.10891089108911,0
41000,경기,202303,0,76.970372204341,0
41A01,서해안권,202303,0,80.30012771392083,1
41A02,경부1권,202303,0,77.63991552270328,1
41A03,경부2권,202303,0,80.09854327335046,1
41A04,경의권,202303,0,68.0235822571589,1
41A05,경원권,202303,0,82.4757281553398,1
41A06,동부1권,202303,0,72.51935256861366,1
41A07,동부2권,202303,0,72.38095238095238,1
42000,강원,202303,0,89.8483849703362,0
43000,충북,202303,0,85.9748427672956,0
44000,충남,202303,0,88.89739663093415,0
45000,전북,202303,0,78.24773413897282,0
46000,전남,202303,0,85.88424437299037,0
47000,경북,202303,0,88.11511423550088,0
48000,경남,202303,0,88.8906397730854,0
50000,제주,202303,0,82.90155440414509,0
A1000,전국,202303,0,79.7632135306554,0
A2000,수도권,202303,0,76.08055667068112,0
A2001,지방권,202303,0,83.08146778666453,0
A3000,6대광역시,202303,0,77.22021376925495,0
A5000,5대광역시,202303,0,77.57644956314536,0
A6000,8개도,202303,0,86.74496644295303,0
A9000,9개도,202303,0,82.26221566178418,0
11000,서울,202303,1,70.65907393577297,0
11A01,강북지역,202303,1,72.46486897075577,1
11A02,강남지역,202303,1,68.91296364304077,1
11A11,도심권,202303,1,74.77477477477477,2
11A12,동북권,202303,1,75.04378283712785,2
11A13,서북권,202303,1,63.62862010221466,2
