region_cd,region_nm,research_date,apt_type,rate,level_no
31110,중구,202303,1,4.751192620583254,1
41131,수정구,202303,1,5.1,2
41210,광명시,202303,1,4.853241595867768,1
41281,덕양구,202303,1,5.25,2
41287,일산서구,202303,1,5.318957634620551,2
42000,강원,202303,1,6,0
44133,서북구,202303,1,6.315789473684212,2
A8000,8개시도,202301,35,7.138579564974832,0
11A14,서남권,202301,35,4.361297970064111,1
26000,부산,202301,35,7.011615859684774,0
31000,울산,202301,35,7.595791164461646,0
42000,강원,202301,35,7.808661291603307,0
A2001,지방,202301,0,6.587723593864742,0
11A11,도심권,202301,0,5.3195428971778025,1
30000,대전,202301,0,6.082297409642918,0
28000,인천,202301,7,8.91026098791466,0
46000,전남,202301,7,8.516929267566205,0
47000,경북,202301,7,9.063027755547742,0
48000,경남,202301,7,8.445036829182744,0
11000,서울,202301,1,4.508032816830855,0
11A11,도심권,202301,1,4.705882352941177,1
11A13,서북권,202301,1,4.648055133746057,1
11230,동대문구,202301,1,4.6162881135973075,1
11290,성북구,202301,1,4.531626979964335,1
11560,영등포구,202301,1,4.419926199261993,1
11710,송파구,202301,1,4.310970571607845,1
27170,서구,202301,1,4.611348037582462,1
28140,동구,202301,1,5.42141753143048,1
28245,계양구,202301,1,5.262931225203168,1
30110,동구,202301,1,4.8,1
28177,미추홀구,202301,1,5.4,1
41130,성남시,202301,1,4.546645735217163,1
41190,부천시,202301,1,4.688149643797867,1
41195,원미구,202301,1,,2
41210,광명시,202301,1,4.572652882156753,1
41310,구리시,202301,1,4.90019930392361,1
41370,오산시,202301,1,5.5813953488372094,1
41390,시흥시,202301,1,5.647058823529412,1
41461,처인구,202301,1,5.7182425177645,2
41480,파주시,202301,1,5.607476635514018,1
43110,청주시,202301,1,5.559845559845559,1
45000,전북,202301,1,5.976558936768358,0
45130,군산시,202301,1,6.620689655172414,1
47113,북구,202301,1,5.800418097530804,2
47190,구미시,202301,1,5.93473231442339,1
48129,진해구,202301,1,5.042444821731749,2
48170,진주시,202301,1,4.8453788945640435,1
46000,전남,202303,0,6.572531235655836,0
A8000,8개시도,202303,35,7.384411556798444,0
11A02,강남지역,202303,35,4.30447284345048,1
36000,세종,202303,35,6.891046897205117,0
A1000,전국,202303,7,7.0042918454935625,0
11A02,강남지역,202303,7,5.3999999999999995,1
11A11,도심권,202303,7,6.096154900030182,1
11A12,동북권,202303,7,6.01759817547133,1
11A13,서북권,202303,7,6.00123677339563,1
43000,충북,202303,7,8.571428571428571,0
45000,전북,202303,7,8.701782745130497,0
11A11,도심권,202302,7,6.008757454336043,1
11A13,서북권,202302,7,5.996967619563653,1
26000,부산,202302,7,7.3609594174965185,0
30000,대전,202302,7,6.857142857142858,0
A2001,지방,202302,1,5.364705882352941,0
11A01,강북지역,202302,1,4.795866682260488,1
11545,금천구,202302,1,5.000000000000001,1
11740,강동구,202302,1,4.079999999999999,1
