region_cd,region_nm,research_date,apt_type,size_gbn,tr_gbn,indices,level_no
43000,충북,202306,1,13,R,108.74570883492228,0
44000,충남,202306,1,13,R,99.8828427651408,0
45000,전북,202306,1,13,R,100.42997031675131,0
46000,전남,202306,1,13,R,98.90626585035417,0
47000,경북,202306,1,13,R,103.64974423893239,0
48000,경남,202306,1,13,R,106.13450887248946,0
50000,제주,202306,1,13,R,101.91627421956333,0
A1000,전국,202306,1,13,R,100.85235419937128,0
A2000,수도권,202306,1,13,R,100.62125538909198,0
A2001,지방권,202306,1,13,R,101.22520304043601,0
A3000,6대광역시,202306,1,13,R,102.1334194411236,0
A5000,5대광역시,202306,1,13,R,101.12755568604207,0
A6000,8개도,202306,1,13,R,103.34790694708892,0
A9000,9개도,202306,1,13,R,101.14783804394663,0
11000,서울,202306,1,13,S,95.97409228855828,0
11A01,강북지역,202306,1,13,S,92.11515884856821,1
11A02,강남지역,202306,1,13,S,97.98722248286977,1
11A11,도심권,202306,1,13,S,96.33085195923695,2
11A12,동북권,202306,1,13,S,91.1030039595833,2
11A13,서북권,202306,1,13,S,91.9510345585332,2
11A14,서남권,202306,1,13,S,95.64980782518334,2
11A15,동남권,202306,1,13,S,99.88779910506706,2
26000,부산,202306,1,13,S,91.02859825354685,0
26A01,동부산권,202306,1,13,S,91.64019694849125,1
26A02,중부산권,202306,1,13,S,87.68518804680116,1
26A03,서부산권,202306,1,13,S,93.83726620078195,1
27000,대구,202306,1,13,S,78.80561369381832,0
28000,인천,202306,1,13,S,90.88000944840569,0
29000,광주,202306,1,13,S,96.44460847685042,0
30000,대전,202306,1,13,S,88.38868520504933,0
31000,울산,202306,1,13,S,85.56468440981001,0
36000,세종,202306,1,13,S,73.24850033619728,0
41000,경기,202306,1,13,S,90.43977773303607,0
41A01,서해안권,202306,1,13,S,88.99241028902549,1
41A02,경부1권,202306,1,13,S,92.69331110267478,1
41A03,경부2권,202306,1,13,S,91.65589992277171,1
41A04,경의권,202306,1,13,S,92.39623234959139,1
41A05,경원권,202306,1,13,S,85.53566024027603,1
41A06,동부1권,202306,1,13,S,87.8032745641082,1
41A07,동부2권,202306,1,13,S,101.7701095603862,1
42000,강원,202306,1,13,S,102.10567542579611,0
43000,충북,202306,1,13,S,97.00723040665336,0
44000,충남,202306,1,13,S,93.69093941893358,0
45000,전북,202306,1,13,S,99.02646496611385,0
46000,전남,202306,1,13,S,95.56771484583491,0
47000,경북,202306,1,13,S,98.52263269469276,0
48000,경남,202306,1,13,S,95.39556907392407,0
50000,제주,202306,1,13,S,107.26553326051535,0
A1000,전국,202306,1,13,S,91.18040376472727,0
A2000,수도권,202306,1,13,S,91.6697363682026,0
A2001,지방권,202306,1,13,S,90.37547085974022,0
A3000,6대광역시,202306,1,13,S,89.07460429700579,0
A5000,5대광역시,202306,1,13,S,88.21479548777758,0
A6000,8개도,202306,1,13,S,96.97087163804689,0
A9000,9개도,202306,1,13,S,92.30765346140457,0
11000,서울,202306,1,14,D,84.18620721261428,0
11A01,강북지역,202306,1,14,D,85.45989645722186,1
11A02,강남지역,202306,1,14,D,83.28047055947796,1
11A11,도심권,202306,1,14,D,84.47348377582942,2
11A12,동북권,202306,1,14,D,84.74388820963259,2
11A13,서북권,202306,1,14,D,88.00878434443601,2
11A14,서남권,202306,1,14,D,82.70839598978654,2
11A15,동남권,202306,1,14,D,83.77738546447223,2
26000,부산,202306,1,14,D,86.77616392671727,0
26A01,동부산권,202306,1,14,D,85.46516532972447,1
26A02,중부산권,202306,1,14,D,85.32277690223741,1
26A03,서부산권,202306,1,14,D,92.04915039859554,1
27000,대구,202306,1,14,D,79.58224826062833,0
28000,인천,202306,1,14,D,81.68596514658051,0
29000,광주,202306,1,14,D,95.85239873874369,0
30000,대전,202306,1,14,D,88.72125823070361,0
31000,울산,202306,1,14,D,93.2740517517564,0
36000,세종,202306,1,14,D,74.35902921068174,0
41000,경기,202306,1,14,D,84.29009246425505,0
41A01,서해안권,202306,1,14,D,86.49485823577814,1
41A02,경부1권,202306,1,14,D,85.04845694329792,1
41A03,경부2권,202306,1,14,D,82.03908832139457,1
41A04,경의권,202306,1,14,D,82.90453884200515,1
41A05,경원권,202306,1,14,D,87.11137473879114,1
41A06,동부1권,202306,1,14,D,84.41297882240657,1
41A07,동부2권,202306,1,14,D,105.96415842129498,1
42000,강원,202306,1,14,D,101.62209375196302,0
