region_cd,region_nm,research_date,deal_obj,all_area,age01_area,age02_area,age04_area,age05_area,age06_area,age07_area
27170,서구,202304,06,8118.7878,178.9189,1398.2573,3241.9381,1246.9568,788.8313,416.55
28245,계양구,202304,06,16747.6416,720.6951,3442.8165,3100.242,2145.0546,810.91,3372.989
47760,영양군,202304,06,851.71,0,226.81,113.52,173.13,338.25,0
47770,영덕군,202304,06,2030.183,0,275.63,234,481.64,398.6109,82.64
48220,통영시,202304,06,11304.0092,189.3399,1322.1107,3569.2798,2928.4278,446.45,64.8
45730,무주군,202304,06,1301.35,0,60.27,98.87,413.52,292.6,0
45750,임실군,202304,06,923.8037,0,65.5263,259.0763,333.11,181.5,0
47113,북구,202304,06,28222.1979,1500.1077,3699.0004,7549.8408,6276.5283,2133.8811,894.595
47111,남구,202304,06,24319.6781,1317.0128,2998.5565,6254.6661,6079.0638,924.8826,119.98
11260,중랑구,202304,06,9190.3772,193.53,1992.1556,1860.143,2229.7886,963.9325,49.77
11590,동작구,202304,06,14548.6125,862.0142,4140.5868,2566.6455,1417.4074,853.9404,856.26
26000,부산,202304,06,219231.8945,7629.3318,53099.4659,47655.0643,32040.7421,14007.2238,7525.8216
26500,수영구,202304,06,10146.855,533.1464,1766.6329,1935.7735,1745.0384,540.5644,265.41
41370,오산시,202304,06,27524.8366,150.637,4845.2661,3510.7114,2410.1318,318.0849,11689.1432
41131,수정구,202304,06,11806.3695,307.2871,1980.8615,2943.9418,1958.7499,1078.27,1056.03
41117,영통구,202304,06,30981.9189,2042.3695,12639.752,4447.3585,2656.5217,1025.0954,84.92
43130,충주시,202304,06,25016.7996,978.4706,4391.5228,7664.4109,4051.534,1545.6253,680.1913
43760,괴산군,202304,06,2290.0191,79.34,72.62,894.5652,652.41,363.01,56.18
41630,양주시,202304,06,20641.9139,985.3775,4020.7875,6019.8822,3535.4607,1422.2545,253.4943
41830,양평군,202304,06,11827.4344,218.88,777.6566,3368.2996,3847.0984,1409.177,424.78
29155,남구,202304,06,15969.7092,821.004,4197.6981,2828.3755,3019.2832,491.4996,159.865
29200,광산구,202304,06,28439.536,1364.8517,8669.3358,5300.9625,2250.8416,1158.7184,364.9449
44800,홍성군,202304,06,5723.3618,0,496.1898,1710.631,1345.2459,639.212,129.905
44770,서천군,202304,06,4227.2685,337.8073,516.407,643.292,1271.9854,662.346,144.6877
46110,목포시,202304,06,21223.4861,1323.85,3216.0492,5346.6648,4281.3229,1351.921,1073.8
46130,여수시,202304,06,19244.4039,950.0843,4370.4404,5723.3815,1703.4642,1943.9847,1252.56
51760,평창군,202304,06,5945.6519,360.37,474.73,2176.4673,1364.7553,260.722,186.4663
51130,원주시,202304,06,39839.2889,1281.2063,8680.0428,10619.9466,6460.3091,3502.9442,645.4875
28110,중구,202304,06,15310.2647,404.3859,2849.5806,3881.4982,2094.3864,991.761,595.7377
47930,울진군,202304,06,2841.1518,67.78,416.0054,603.9552,492.2047,836.86,0
47940,울릉군,202304,06,257.91,0,0,0,41.82,0,0
47820,청도군,202304,06,3170.0778,169.5981,0,945.855,1180.445,235.6,0
48730,함안군,202304,06,4148.2812,209.1559,408.6266,1278.3578,1069.9379,324,0
48330,양산시,202304,06,27701.0887,1207.2455,4832.2658,7533.4016,5428.9345,1273.3658,566.98
45111,완산구,202304,06,29631.7633,795.6898,6276.3777,6484.7894,5352.5629,2595.9492,848.4215
48870,함양군,202304,06,1683.0957,206.4706,0,491.535,241.04,278.6576,59.95
47280,문경시,202304,06,4444.3987,144.38,541.0415,916.5564,1398.16,226.52,84.98
